"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","Display Value","Numeric","Low","High","Comments"
"HIV_0000000001","PUBLISHED","2018","AFR","KEN","1 600 000 [1 300 000–1 900 000]","1600000.00000","1300000.00000","1900000.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","KWT","640 [580–700]","640.00000","580.00000","700.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","KGZ","8500 [6500–12 000]","8500.00000","6500.00000","12000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","LAO","12 000 [11 000–14 000]","12000.00000","11000.00000","14000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","LVA","5300 [4800–5900]","5300.00000","4800.00000","5900.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","LBN","2500 [2200–2800]","2500.00000","2200.00000","2800.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","LSO","340 000 [320 000–360 000]","340000.00000","320000.00000","360000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","LBR","39 000 [36 000–44 000]","39000.00000","36000.00000","44000.00000",""
"HIV_0000000001","PUBLISHED","2018","EMR","LBY","9200 [8300–10 000]","9200.00000","8300.00000","10000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","LTU","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","EUR","LUX","1200 [1000–1300]","1200.00000","1000.00000","1300.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","MDG","39 000 [30 000–55 000]","39000.00000","30000.00000","55000.00000",""
"HIV_0000000001","PUBLISHED","2018","AFR","MWI","1 000 000 [940 000–1 100 000]","1000000.00000","940000.00000","1100000.00000",""
"HIV_0000000001","PUBLISHED","2018","WPR","MYS","87 000 [77 000–98 000]","87000.00000","77000.00000","98000.00000",""
"HIV_0000000001","PUBLISHED","2018","SEAR","MDV","No data","","","",""
"HIV_0000000001","PUBLISHED","2018","AFR","MLI","150 000 [120 000–190 000]","150000.00000","120000.00000","190000.00000",""
"HIV_0000000001","PUBLISHED","2018","EUR","MLT","No data","","","",""
